datetime,time,code,price,value,comm,signal
2017-09-13,2017-09-13 23:59:59.999989,000062.sz,27.29,1056123.0,1056.123,BUY
2017-09-14,2017-09-14 23:59:59.999989,000042.sz,17.4,1008940.0,1061.3999999999999,SELL
2017-09-14,2017-09-14 23:59:59.999989,000062.sz,27.42,1063896.0,1063.8960000000002,BUY
2017-09-15,2017-09-15 23:59:59.999989,000042.sz,17.37,1003978.0,1054.3590000000002,SELL
2017-09-15,2017-09-15 23:59:59.999989,000062.sz,26.9,1051790.0,1051.79,BUY
2017-09-18,2017-09-18 23:59:59.999989,000042.sz,17.4,1003978.0,1056.18,SELL
2017-09-18,2017-09-18 23:59:59.999989,000062.sz,27.0,1055700.0,1055.7,BUY
2017-09-19,2017-09-19 23:59:59.999989,000042.sz,17.36,1002324.0,1052.016,SELL
2017-09-19,2017-09-19 23:59:59.999989,000062.sz,27.02,1056482.0,1056.482,BUY
2017-09-20,2017-09-20 23:59:59.999989,000042.sz,17.5,1003978.0,1062.25,SELL
2017-09-20,2017-09-20 23:59:59.999989,000062.sz,27.27,1060803.0,1060.8029999999999,BUY
2017-09-21,2017-09-21 23:59:59.999989,000017.sz,7.98,5344206.0,5344.206000000001,BUY
2017-09-21,2017-09-21 23:59:59.999989,000062.sz,27.93,14125074.0,14026.446,SELL
2017-09-22,2017-09-22 23:59:59.999989,000028.sz,67.12,5362888.0,5362.888000000001,BUY
2017-09-22,2017-09-22 23:59:59.999989,000042.sz,17.27,226598.0,236.59900000000002,SELL
2017-09-29,2017-09-29 23:59:59.999989,000017.sz,7.7,1064910.0,1064.91,BUY
2017-10-12,2017-10-12 23:59:59.999989,000028.sz,70.7,1033648.0000000001,1088.78,SELL
2017-10-19,2017-10-19 23:59:59.999989,000017.sz,7.68,1078272.0,1078.272,BUY
2017-10-20,2017-10-20 23:59:59.999989,000017.sz,7.52,1071600.0,1071.6,BUY
2017-10-24,2017-10-24 23:59:59.999989,000028.sz,70.6,1026936.0000000001,1080.18,SELL
2017-10-25,2017-10-25 23:59:59.999989,000017.sz,7.55,1072100.0,1072.1,BUY
2017-10-25,2017-10-25 23:59:59.999989,000028.sz,70.48,1020224.0000000001,1071.296,SELL
2017-10-30,2017-10-30 23:59:59.999989,000017.sz,7.54,1071434.0,1071.434,BUY
2017-10-31,2017-10-31 23:59:59.999989,000017.sz,7.31,1054102.0,1054.102,BUY
2017-11-01,2017-11-01 23:59:59.999989,000017.sz,7.39,1059726.0,1059.7259999999999,BUY
2017-11-02,2017-11-02 23:59:59.999989,000017.sz,7.33,1053321.0,1053.3210000000001,BUY
2017-11-03,2017-11-03 23:59:59.999989,000017.sz,7.17,1036065.0,1036.065,BUY
2017-11-03,2017-11-03 23:59:59.999989,000028.sz,65.16,1029528.0,1029.528,BUY
2017-11-06,2017-11-06 23:59:59.999989,000017.sz,7.13,1023868.0,1023.8679999999999,BUY
2017-11-06,2017-11-06 23:59:59.999989,000028.sz,62.87,1031068.0,1031.0679999999998,BUY
2017-11-07,2017-11-07 23:59:59.999989,000017.sz,7.16,1038200.0,1038.2,BUY
2017-11-16,2017-11-16 23:59:59.999989,000017.sz,7.12,390888.0,390.888,BUY
2017-12-21,2017-12-21 23:59:59.999989,000028.sz,57.1,4342676.0,3780.0200000000004,SELL
2017-12-22,2017-12-22 23:59:59.999989,000017.sz,6.55,938615.0,938.615,BUY
2017-12-25,2017-12-25 23:59:59.999989,000017.sz,6.58,942914.0,942.9140000000001,BUY
2017-12-26,2017-12-26 23:59:59.999989,000017.sz,6.39,918243.0,918.243,BUY
2017-12-27,2017-12-27 23:59:59.999989,000017.sz,6.39,918882.0,918.8820000000001,BUY
2017-12-28,2017-12-28 23:59:59.999989,000017.sz,6.28,53380.0,53.38,BUY
2018-02-01,2018-02-01 23:59:59.999989,000017.sz,5.84,21130726.0,16801.096,SELL
2018-02-02,2018-02-02 23:59:59.999989,000017.sz,5.53,4158560.0,4158.56,BUY
2018-02-02,2018-02-02 23:59:59.999989,000049.sz,32.91,4169696.9999999995,4169.696999999999,BUY
2018-02-07,2018-02-07 23:59:59.999989,000017.sz,5.23,820587.0000000001,820.5870000000001,BUY
2018-02-07,2018-02-07 23:59:59.999989,000049.sz,32.29,833082.0,833.082,BUY
2018-02-08,2018-02-08 23:59:59.999989,000017.sz,5.19,808602.0000000001,808.6020000000001,BUY
2018-02-12,2018-02-12 23:59:59.999989,000017.sz,5.18,816886.0,816.8860000000001,BUY
2018-02-27,2018-02-27 23:59:59.999989,000049.sz,35.83,790603.1075409837,863.503,SELL
2018-02-28,2018-02-28 23:59:59.999989,000049.sz,34.83,800444.64,849.8520000000001,SELL
2018-03-01,2018-03-01 23:59:59.999989,000049.sz,34.99,797164.1291803279,850.2570000000001,SELL
2018-03-02,2018-03-02 23:59:59.999989,000049.sz,35.39,793883.6183606557,856.438,SELL
2018-03-05,2018-03-05 23:59:59.999989,000049.sz,35.45,797164.1291803279,861.4350000000001,SELL
2018-03-06,2018-03-06 23:59:59.999989,000049.sz,35.21,793883.6183606557,852.082,SELL
2018-03-07,2018-03-07 23:59:59.999989,000049.sz,36.4,229635.7573770492,254.79999999999998,SELL
2018-03-08,2018-03-08 23:59:59.999989,000017.sz,6.0,798024.0424574608,886.2,SELL
2018-03-08,2018-03-08 23:59:59.999989,000049.sz,35.6,4485600.0,4485.6,BUY
2018-03-09,2018-03-09 23:59:59.999989,000017.sz,6.16,774791.1150196336,883.344,SELL
2018-03-12,2018-03-12 23:59:59.999989,000017.sz,6.14,791540.4348003927,899.51,SELL
2018-03-13,2018-03-13 23:59:59.999989,000017.sz,6.16,800185.2450098167,912.2959999999999,SELL
2018-03-13,2018-03-13 23:59:59.999989,000049.sz,37.65,865080.0,914.895,SELL
2018-03-14,2018-03-14 23:59:59.999989,000017.sz,6.01,809910.6564954189,900.899,SELL
2018-03-15,2018-03-15 23:59:59.999989,000017.sz,5.89,826119.675638089,900.581,SELL
2018-03-16,2018-03-16 23:59:59.999989,000017.sz,5.89,819095.7673429319,892.9239999999999,SELL
2018-03-19,2018-03-19 23:59:59.999989,000017.sz,5.84,820176.36861911,886.5120000000001,SELL
2018-03-20,2018-03-20 23:59:59.999989,000017.sz,5.82,164791.6946171466,177.51000000000002,SELL
2018-03-21,2018-03-21 23:59:59.999989,000017.sz,5.94,4446684.0,4446.684,BUY
2018-03-23,2018-03-23 23:59:59.999989,000017.sz,5.81,4446684.0,4349.366,SELL
2018-03-23,2018-03-23 23:59:59.999989,000039.sz,17.0,4267000.0,4267.0,BUY
2018-03-23,2018-03-23 23:59:59.999989,000049.sz,33.2,859880.0000000001,859.8800000000001,BUY
2018-03-26,2018-03-26 23:59:59.999989,000039.sz,15.7,839950.0,839.9499999999999,BUY
2018-03-26,2018-03-26 23:59:59.999989,000049.sz,31.39,844391.0,844.3910000000001,BUY
2018-03-27,2018-03-27 23:59:59.999989,000039.sz,16.3,873680.0,873.6800000000001,BUY
2018-03-27,2018-03-27 23:59:59.999989,000049.sz,32.5,867750.0,867.75,BUY
2018-03-29,2018-03-29 23:59:59.999989,000049.sz,32.9,875140.0,875.14,BUY
2018-04-09,2018-04-09 23:59:59.999989,000039.sz,16.11,868329.0,868.329,BUY
2018-04-10,2018-04-10 23:59:59.999989,000049.sz,32.42,862372.0,862.3720000000001,BUY
2018-04-17,2018-04-17 23:59:59.999989,000039.sz,15.88,863872.0,863.8720000000001,BUY
2018-04-17,2018-04-17 23:59:59.999989,000049.sz,32.46,853698.0,853.6980000000001,BUY
2018-04-18,2018-04-18 23:59:59.999989,000039.sz,15.85,855900.0,855.9,BUY
2018-04-19,2018-04-19 23:59:59.999989,000039.sz,15.7,452160.0,452.15999999999997,BUY
2018-04-24,2018-04-24 23:59:59.999989,000049.sz,30.53,8783751.000000002,7959.171,SELL
2018-04-25,2018-04-25 23:59:59.999989,000002.sz,30.65,4110165.0,4110.165,BUY
2018-04-25,2018-04-25 23:59:59.999989,000039.sz,15.72,828444.0,828.4440000000001,BUY
2018-04-26,2018-04-26 23:59:59.999989,000039.sz,15.6,822120.0,822.12,BUY
2018-04-27,2018-04-27 23:59:59.999989,000002.sz,28.66,799614.0,799.614,BUY
2018-04-27,2018-04-27 23:59:59.999989,000039.sz,15.2,798000.0,798.0,BUY
2018-05-02,2018-05-02 23:59:59.999989,000002.sz,28.4,585040.0,585.04,BUY
2018-05-24,2018-05-24 23:59:59.999989,000039.sz,16.35,11469454.999999998,11561.085000000001,SELL
2018-05-25,2018-05-25 23:59:59.999989,000002.sz,26.68,821744.0,821.744,BUY
2018-05-25,2018-05-25 23:59:59.999989,000056.sz,9.9,4042170.0,4042.17,BUY
2018-05-28,2018-05-28 23:59:59.999989,000002.sz,26.39,818090.0,818.09,BUY
2018-05-29,2018-05-29 23:59:59.999989,000002.sz,26.3,815300.0,815.3000000000001,BUY
2018-05-30,2018-05-30 23:59:59.999989,000002.sz,25.21,794115.0,794.115,BUY
2018-05-31,2018-05-31 23:59:59.999989,000002.sz,24.77,795117.0,795.1170000000001,BUY
2018-06-01,2018-06-01 23:59:59.999989,000002.sz,25.39,802324.0,802.3240000000001,BUY
2018-06-04,2018-06-04 23:59:59.999989,000002.sz,26.3,823190.0,823.19,BUY
2018-06-11,2018-06-11 23:59:59.999989,000002.sz,26.74,823592.0,823.592,BUY
2018-06-22,2018-06-22 23:59:59.999989,000002.sz,27.5,11988291.0,11899.25,SELL
2018-06-22,2018-06-22 23:59:59.999989,000017.sz,4.56,1003655.9999999999,1003.6559999999998,BUY
2018-06-28,2018-06-28 23:59:59.999989,000056.sz,10.28,810810.0,841.932,SELL
2018-06-29,2018-06-29 23:59:59.999989,000056.sz,10.48,809820.0,857.264,SELL
2018-07-02,2018-07-02 23:59:59.999989,000056.sz,10.43,809820.0,853.174,SELL
2018-07-03,2018-07-03 23:59:59.999989,000056.sz,10.45,811800.0,856.9,SELL
2018-07-04,2018-07-04 23:59:59.999989,000056.sz,10.44,799920.0,843.5519999999999,SELL
2018-07-05,2018-07-05 23:59:59.999989,000056.sz,10.38,4278636.0,4278.636,BUY
2018-07-06,2018-07-06 23:59:59.999989,000017.sz,4.28,847868.0,847.868,BUY
2018-07-12,2018-07-12 23:59:59.999989,000017.sz,4.14,841247.9999999999,841.248,BUY
2018-07-17,2018-07-17 23:59:59.999989,000017.sz,4.09,847857.0,847.857,BUY
2018-07-18,2018-07-18 23:59:59.999989,000017.sz,3.61,808279.0,808.279,BUY
2018-07-19,2018-07-19 23:59:59.999989,000017.sz,3.66,825696.0,825.696,BUY
2018-07-20,2018-07-20 23:59:59.999989,000017.sz,3.49,819103.0,819.1030000000001,BUY
2018-07-20,2018-07-20 23:59:59.999989,000035.sz,4.46,3945316.0,3945.3160000000003,BUY
2018-07-20,2018-07-20 23:59:59.999989,000056.sz,10.25,4278636.0,4225.05,SELL
2018-07-23,2018-07-23 23:59:59.999989,000017.sz,3.54,828714.0,828.7139999999999,BUY
2018-07-24,2018-07-24 23:59:59.999989,000017.sz,3.55,824665.0,824.665,BUY
2018-07-25,2018-07-25 23:59:59.999989,000017.sz,3.65,841690.0,841.6899999999999,BUY
2018-07-27,2018-07-27 23:59:59.999989,000017.sz,4.84,807046.3992035838,1016.8839999999999,SELL
2018-07-30,2018-07-30 23:59:59.999989,000017.sz,4.6,768249.7850581474,919.9999999999999,SELL
2018-07-31,2018-07-31 23:59:59.999989,000017.sz,5.23,728300.7962351238,991.6080000000001,SELL
2018-08-01,2018-08-01 23:59:59.999989,000017.sz,4.59,765176.7859179148,914.3280000000001,SELL
2018-08-02,2018-08-02 23:59:59.999989,000017.sz,4.87,738288.0434408797,936.0140000000001,SELL
2018-08-03,2018-08-03 23:59:59.999989,000017.sz,4.68,774011.6584460835,943.02,SELL
2018-08-03,2018-08-03 23:59:59.999989,000035.sz,4.1,935209.9999999999,935.2099999999999,BUY
2018-08-06,2018-08-06 23:59:59.999989,000017.sz,4.47,794754.4026426536,924.843,SELL
2018-08-06,2018-08-06 23:59:59.999989,000035.sz,4.1,924549.9999999999,924.55,BUY
2018-08-07,2018-08-07 23:59:59.999989,000017.sz,4.4,809735.2734512874,927.5200000000001,SELL
2018-08-07,2018-08-07 23:59:59.999989,000035.sz,4.0,914800.0,914.8000000000001,BUY
2018-08-08,2018-08-08 23:59:59.999989,000017.sz,4.36,807814.648988642,916.9080000000001,SELL
2018-08-08,2018-08-08 23:59:59.999989,000035.sz,4.04,916676.0,916.676,BUY
2018-08-09,2018-08-09 23:59:59.999989,000017.sz,4.16,840465.2648536133,910.2080000000001,SELL
2018-08-09,2018-08-09 23:59:59.999989,000035.sz,4.02,910127.9999999999,910.1279999999999,BUY
2018-08-10,2018-08-10 23:59:59.999989,000017.sz,4.24,654932.9417620706,722.9200000000001,SELL
2018-08-13,2018-08-13 23:59:59.999989,000017.sz,4.17,4610352.0,4610.352000000001,BUY
2018-08-14,2018-08-14 23:59:59.999989,000035.sz,4.1,922499.9999999999,922.4999999999999,BUY
2018-08-17,2018-08-17 23:59:59.999989,000017.sz,4.28,4610352.0,4731.968000000001,SELL
2018-08-17,2018-08-17 23:59:59.999989,000039.sz,11.6,4631880.0,4631.88,BUY
2018-08-20,2018-08-20 23:59:59.999989,000035.sz,4.09,922704.0,922.704,BUY
2018-08-21,2018-08-21 23:59:59.999989,000035.sz,4.09,921886.0,921.886,BUY
2018-08-23,2018-08-23 23:59:59.999989,000035.sz,4.11,922695.0000000001,922.695,BUY
2018-08-23,2018-08-23 23:59:59.999989,000039.sz,11.12,910727.9999999999,910.728,BUY
2018-08-24,2018-08-24 23:59:59.999989,000039.sz,11.13,936033.0000000001,936.0330000000001,BUY
2018-08-27,2018-08-27 23:59:59.999989,000039.sz,10.89,72963.0,72.96300000000001,BUY
2018-09-12,2018-09-12 23:59:59.999989,000035.sz,4.5,889025.8749614817,954.9000000000001,SELL
2018-09-14,2018-09-14 23:59:59.999989,000002.sz,23.13,952956.0,952.956,BUY
2018-09-14,2018-09-14 23:59:59.999989,000039.sz,11.16,6551604.0,6383.52,SELL
2018-09-17,2018-09-17 23:59:59.999989,000002.sz,23.04,952956.0,949.248,SELL
2018-09-18,2018-09-18 23:59:59.999989,000002.sz,22.65,4953555.0,4953.555,BUY
2018-09-20,2018-09-20 23:59:59.999989,000002.sz,24.01,949034.9999999999,1006.019,SELL
2018-09-21,2018-09-21 23:59:59.999989,000002.sz,24.2,955829.9999999999,1021.24,SELL
2018-09-25,2018-09-25 23:59:59.999989,000035.sz,5.14,885255.2656897318,1086.0819999999999,SELL
2018-09-25,2018-09-25 23:59:59.999989,000002.sz,24.8,899205.0,984.5600000000001,SELL
2018-09-26,2018-09-26 23:59:59.999989,000002.sz,24.66,949034.9999999999,1033.254,SELL
2018-09-26,2018-09-26 23:59:59.999989,000035.sz,4.78,910811.6174204813,1039.172,SELL
2018-09-27,2018-09-27 23:59:59.999989,000002.sz,24.63,935444.9999999999,1017.219,SELL
2018-09-27,2018-09-27 23:59:59.999989,000035.sz,4.69,922542.401821481,1032.738,SELL
2018-09-28,2018-09-28 23:59:59.999989,000002.sz,24.5,265005.0,286.65000000000003,SELL
2018-09-28,2018-09-28 23:59:59.999989,000035.sz,4.64,915420.1398637311,1013.8399999999999,SELL
2018-10-08,2018-10-08 23:59:59.999989,000002.sz,22.95,4798845.0,4798.844999999999,BUY
2018-10-08,2018-10-08 23:59:59.999989,000035.sz,4.5,927569.8808504809,996.3000000000001,SELL
2018-10-09,2018-10-09 23:59:59.999989,000002.sz,22.05,998865.0,998.8650000000001,BUY
2018-10-09,2018-10-09 23:59:59.999989,000035.sz,4.51,927988.8374362309,998.9649999999999,SELL
2018-10-10,2018-10-10 23:59:59.999989,000002.sz,21.77,990535.0,990.535,BUY
2018-10-10,2018-10-10 23:59:59.999989,000035.sz,4.5,930921.5335364809,999.9000000000001,SELL
2018-10-11,2018-10-11 23:59:59.999989,000002.sz,21.0,966000.0,966.0,BUY
2018-10-11,2018-10-11 23:59:59.999989,000035.sz,4.41,909554.7476632312,957.4110000000001,SELL
2018-10-12,2018-10-12 23:59:59.999989,000002.sz,21.14,978782.0,978.7820000000002,BUY
2018-10-16,2018-10-16 23:59:59.999989,000002.sz,21.6,989280.0000000001,989.2800000000002,BUY
2018-10-17,2018-10-17 23:59:59.999989,000002.sz,21.35,986370.0000000001,986.3700000000001,BUY
2018-10-18,2018-10-18 23:59:59.999989,000002.sz,21.1,972710.0000000001,972.7100000000002,BUY
2018-10-19,2018-10-19 23:59:59.999989,000002.sz,20.61,948060.0,948.06,BUY
2018-10-22,2018-10-22 23:59:59.999989,000002.sz,21.88,12629447.0,12609.444000000001,SELL
2018-10-22,2018-10-22 23:59:59.999989,000035.sz,4.23,4017374.700756667,4056.1470000000004,SELL
